106,Reedy Creek Middle,930,Reedy Creek Rd,Cary,NC,35.8051954,-78.76830199999999,Magnet Middle School
107,Harris Creek Elementary,3829,Forestville Rd,Raleigh,NC,35.8815438,-78.5098307,Elementary Schools
108,Dillard Drive Middle,5200,Dillard Dr,Raleigh,NC,35.7543971,-78.73434499999999,Middle School
109,Dillard Drive Elementary,5018,Dillard Dr,Raleigh,NC,35.7543971,-78.73434499999999,Elementary Schools
110,Harriet B Webster At Crossroads II Adm,110,Corning Rd,Cary,NC,35.7544928,-78.7354603,Administration
111,Spring Forest Road Modular Site,3851,Spring Forest Rd,Raleigh,NC,35.8594985,-78.59657299999999,Future Sites
112,East Garner Middle,6301,Jones Sausage Rd,Garner,NC,35.71344930000001,-78.58903800000002,Magnet Middle School
113,East Garner Elementary,5545,Jones Sausage Rd,Garner,NC,35.71344930000001,-78.58903800000002,Elementary Schools
114,North Forest Pines Elementary,11501,Forest Pines Dr,Raleigh,NC,35.9528031,-78.54561989999999,Elementary Schools
115,River Oaks Middle,4700,New Bern Ave,Raleigh,NC,35.7899227,-78.58670099999999,Special / Optional Schools
116,Hodge Road Elementary,2128,Mingo Bluff Blvd,Knightdale,NC,35.7758243,-78.5201419,Magnet Elementary School
117,Lincoln Heights Elementary,307,Bridge St,Fuquay-Varina,NC,35.5927579,-78.8087559,Magnet Elementary School
118,Middle Creek Elementary,110,Middle Creek Park Ave,Apex,NC,35.669471,-78.7608075,Elementary Schools
119,Barwell Road Elementary,3925,Barwell Rd,Raleigh,NC,35.7403141,-78.54341269999999,Elementary Schools
120,Ballentine Elementary,1651,N  McLaurin Ln,Fuquay-Varina,NC,35.6100339,-78.7712842,Elementary Schools
121,Fuquay-Varina Elementary,6600,Johnson Pond Rd,Fuquay-Varina,NC,35.6324029,-78.7441475,Elementary Schools
122,Creech Road Elementary,450,Creech Rd,Garner,NC,35.7199297,-78.6016736,Elementary Schools
123,Smith Elementary,1101,Maxwell Dr,Raleigh,NC,35.712675,-78.6520275,Magnet Elementary School
124,Penny Road Elementary,10900,Penny Rd,Cary,NC,35.7118507,-78.76587359999999,Elementary Schools
125,Forest Pines Drive Elementary,11455,Forest Pines Dr,Raleigh,NC,35.9528031,-78.54561989999999,Elementary Schools
126,Fuller Elementary,806,Calloway Dr,Raleigh,NC,35.7536868,-78.6279359,Magnet Elementary School
127,Hunter Elementary,1018,E Davie St,Raleigh,NC,35.775265,-78.6265635,Magnet Elementary School
128,Timber Drive Elementary,1601,Timber Dr,Garner,NC,35.7035722,-78.64067779999999,Elementary Schools
129,Holly Springs Elementary,401,Holly Springs Rd,Holly Springs,NC,35.6694038,-78.7969723,Elementary Schools
130,Garner High,2101,Spring Dr,Garner,NC,35.7080533,-78.6349853,Magnet High School
131,Holly Ridge Elementary,900,Holly Springs Rd,Holly Springs,NC,35.6694038,-78.7969723,Elementary Schools
132,Holly Ridge Middle,950,Holly Springs Rd,Holly Springs,NC,35.6694038,-78.7969723,Middle School
133,Holly Grove Elementary,1451,Avent Ferry Rd,Holly Springs,NC,35.6308442,-78.8635395,Elementary Schools
134,Fuquay-Varina High,201,Bengal Blvd,Fuquay-Varina,NC,35.5967626,-78.7948974,High School
135,Zebulon Elementary,700,Proctor St,Zebulon,NC,35.8418955,-78.323228,Magnet Elementary School
136,Poe Elementary,400,Peyton St,Raleigh,NC,35.769846,-78.6070593,Magnet Elementary School
137,Longview School,318,N King Charles Rd,Raleigh,NC,35.7897599,-78.6095232,Special / Optional Schools
138,Vandora Springs Elementary,1300,Vandora Springs Rd,Garner,NC,35.6979398,-78.6311473,Elementary Schools
139,Wake Early College Of Health And Sciences,2901,Holston Ln,Raleigh,NC,35.7858343,-78.5816483,Magnet High School
140,Aversboro Elementary,1605,Aversboro Rd,Garner,NC,35.6926056,-78.6168031,Elementary Schools
141,Sanford Creek Elementary,701,Granite Falls Blvd,Rolesville,NC,35.9266678,-78.4643253,Elementary Schools
142,Wakelon Elementary,8921,Pippin Rd,Zebulon,NC,35.8576087,-78.3214898,Elementary Schools
143,Mills Park Elementary,509,Mills Park Dr,Cary,NC,35.8128074,-78.9016407,Elementary Schools
144,Sycamore Creek Elementary,10921,Leesville Rd,Raleigh,NC,35.9192014,-78.7528552,Elementary Schools
145,Laurel Park Elementary,2450,Laura Duncan Rd,Apex,NC,35.7507097,-78.8327293,Elementary Schools
146,Bryan Road Elementary,8317,Bryan Rd,Garner,NC,35.6742623,-78.59068429999999,Elementary Schools
147,Bryan Road Middle Site,8317,Bryan Rd,Garner,NC,35.6742623,-78.59068429999999,Future Sites
148,Lake Myra Elementary,1300,Elk Falls Rd,Wendell,NC,35.7616995,-78.4285543,Elementary Schools
149,Scotts Ridge Elementary,6601,Apex Barbecue Rd,Apex,NC,35.7223281,-78.8867387,Elementary Schools
150,Herbert Akins Road Elementary,2255,Herbert Akins Rd,Fuquay-Varina,NC,35.6212413,-78.8006231,Elementary Schools
151,Dubois Center,530,E Perry Ave,Wake Forest,NC,35.9858942,-78.4979879,Future Sites
152,River Bend Elementary,6710,Perry Creek Rd,Raleigh,NC,35.8791814,-78.5463365,Elementary Schools
153,Wendell Area Elementary and Pre-K Site,5101,Rolesville Rd,Wendell,NC,35.8083446,-78.4235056,Future Sites
154,Banks Road Elementary,10225,Chambers Rd,Raleigh,NC,35.63368,-78.709685,Elementary Schools
155,Vance Elementary,8808,Old Stage Rd,Raleigh,NC,35.6164606,-78.6835323,Elementary Schools
156,Joyner Elementary,2300,Lowden St,Raleigh,NC,35.8143772,-78.63399299999999,Magnet Elementary School
157,Walnut Creek Elementary,2600,Sunnybrook Rd,Raleigh,NC,35.7662809,-78.5828269,Elementary Schools
158,Wake Early College North Campus HS,6600,Louisburg Rd,Raleigh,NC,35.8803179,-78.53225809999999,Future Sites
159,Wendell Middle,3409,NC 97 Hwy,Wendell,NC,35.8054217,-78.3952091,Middle School
160,Willow Springs Elementary,6800,Dwight Rowland Rd,Willow Springs,NC,35.5953504,-78.72976200000001,Elementary Schools
161,Alston Ridge Elementary,11555,Green Level Church Rd,Cary,NC,35.8114201,-78.90339,Elementary Schools
162,Holly Grove Middle,1401,Avent Ferry Rd,Holly Springs,NC,35.6308442,-78.8635395,Middle School
163,Mills Park Middle,441,Mills Park Dr,Cary,NC,35.8128074,-78.9016407,Middle School
164,West Lake Middle,4600,West Lake Rd,Apex,NC,35.66962669999999,-78.7576922,Middle School
165,Heritage High,1150,Forestville Rd,Wake Forest,NC,35.9338477,-78.50645879999999,High School
166,Wake Stem  Early College High School,715,Barbour Dr,Raleigh,NC,35.7731313,-78.666517,Magnet High School
167,Wake Young Men's Leadership Academy,567,E Hargett St,Raleigh,NC,35.7779441,-78.62868379999999,Academies
168,Wake Young Women's Leadership Academy,303,Ashe Ave,Raleigh,NC,35.7809529,-78.6599268,Academies
169,Richland Creek Elementary,840,Wallridge Drive,Wake Forest,NC,36.0030775,-78.5139322,Elementary Schools
170,Lacy Elementary,2001,Lake Boone Trl,Raleigh,NC,35.8162551,-78.6855983,Elementary Schools
