OBJECTID,NAME,PARK_TYPE,FILE_NUMBER,PARCEL_COUNT,DEVELOPED,MAP_ACRES,ADDRESS,ZIP_CODE,ALTERNATE_ADDRESS,LWCF,PARKID,INITIAL_AQUISITION_DATE,Shape__Area,Shape__Length
103,King William,Open Space,OS-22,1,Undeveloped,1.49151274,200 Donald Ross Dr,27610,NA,No,76,1968-03-18T00:00:00.000Z,64970.0365,1255.613211
104,West Lake,Open Space,OS-23,1,Undeveloped,2.96287585,2413 Lake Dr,27609,NA,No,77,1961-06-19T00:00:00.000Z,129062.3438,2865.974728
105,Pollock,Neighborhood,OS-32,1,Developed,0.56589875,3301 Pollock Pl,27607,NA,No,78,,24650.46753,893.0347351
106,Poplar,Open Space,OS-33,1,Undeveloped,0.9694955,223 Poplar St,27604,NA,No,79,1926-07-29T00:00:00.000Z,42231.02307,1014.919733
107,King Charles & Bertie,Open Space,OS-34,0,Undeveloped,0.17725974,Right of Way,27610,NA,No,80,,7721.40332,314.7195147
108,Rothgeb,Open Space,OS-35,1,Undeveloped,6.74211423,2739 Rothgeb Dr,27609,NA,No,81,1952-07-16T00:00:00.000Z,293685.3097,3895.163781
109,Long Acres,Open Space,OS-36,1,Undeveloped,3.01015301,2236 Shannon St,27610,NA,No,82,1952-07-01T00:00:00.000Z,131121.6897,1902.849814
110,Sherwood Forest,Open Space,OS-37,2,Undeveloped,18.82708034,1120 Beverly Dr,27610,NA,No,83,1969-09-01T00:00:00.000Z,820104.2233,5590.427041
111,Brentwood,Neighborhood,N-2,2,Developed,19.16354468,3315 Vinson Ct,27604,NA,No,84,1970-10-13T00:00:00.000Z,834760.6025,4308.843545
112,Fred Fletcher,Neighborhood,N-21,3,Developed,21.36039218,805 Washington St,27605,NA,No,85,1981-07-02T00:00:00.000Z,930454.9194,4361.720516
113,Peach Road,Neighborhood,N-22,1,Developed,6.96035594,911 Ileagnes Rd,27603,NA,No,86,1984-08-23T00:00:00.000Z,303191.853,2342.354677
114,Tarboro Road,Neighborhood,N-23,1,Developed,3.18264575,121 N Tarboro St,27601,NA,No,87,1978-12-01T00:00:00.000Z,138635.4863,1523.229495
115,Kaplan,Neighborhood,N-24,2,Developed,5.19049533,5208 Kaplan Dr,27606,NA,No,88,1978-09-25T00:00:00.000Z,226097.0007,2976.937682
116,Spring Forest Road,Neighborhood,N-26,1,Developed,21.80904764,4203 Spring Forest Rd,27616,NA,No,89,1986-01-01T00:00:00.000Z,949998.0548,4316.433608
117,Jaycee,Community,C-5,1,Developed,24.8501754,2405 Wade Ave,27607,NA,Yes,90,1952-05-21T00:00:00.000Z,1082469.243,4844.080742
118,Laurel Hills,Community,C-6,1,Developed,48.18516593,3808 Edwards Mill Rd,27612,NA,Yes,91,1975-05-14T00:00:00.000Z,2098937.39,6272.628939
119,Powell Drive,Neighborhood,N-15,1,Developed,8.64224308,740 Powell Dr,27606,NA,Yes,92,1972-06-15T00:00:00.000Z,376454.6146,2512.582856
120,Green Road,Community,C-14,1,Developed,26.59873898,4201 Green Rd,27604,NA,No,93,1973-12-30T00:00:00.000Z,1158601.326,4300.510582
121,Berkshire Downs West,Mini,M-19,1,Developed,7.82923027,8105 McGuire Dr,27616,NA,No,94,1987-03-18T00:00:00.000Z,341039.8463,2995.641607
